Decile,Turnout
1,59.54644516651513
2,61.261001270418944
3,64.23136212068361
4,65.70868613856692
5,66.6414871834317
6,68.29394174149101
7,70.12298499066297
8,70.58777896054957
9,72.34711784087432
10,74.26876484332773
