Decile,Turnout
1,48.771428571428565
2,51.646153846153844
3,54.13333333333333
4,57.333333333333336
5,58.43333333333333
6,62.14444444444444
7,61.24444444444445
8,64.08888888888889
9,67.11666666666667
10,68.2909090909091
