Decile,Conservative,Liberal Democrat,Labour,Green,SNP,Plaid Cymru,DUP,Sinn Fein,SDLP,UUP,Alliance,UKIP,Other
1,15.524876993463502,16.012946727331652,36.973428904536824,0.5307484774126748,0.7284428151134943,0.0,5.4876698837067375,6.965726527743287,3.8500940700116586,3.012260668633649,1.2202164241610511,2.304062898534865,7.389525609350601
2,23.41532295464368,18.081372816536117,42.87288369445534,0.6999476973156292,0.0,0.6483377637311866,1.45612366679149,0.2480047815198721,0.7503260739465281,1.185104164702269,0.529992837726592,3.183420780291394,6.9291627683399035
3,26.97434837211246,19.81496429270524,42.35898349495274,1.1312258661429158,2.2331630262894544,0.3287373158642148,0.0,0.0,0.0,0.0,0.0,2.836349080319969,4.322228551613005
4,30.00743632645473,21.030068923729456,37.9006493014673,1.071691695413577,2.141627591525342,1.1597226525651883,0.0,0.0,0.0,0.0,0.0,2.4927185970130754,4.196084911831333
5,35.48515810682054,22.927504453605454,31.86447977091953,0.9062666149162872,1.669868182803113,0.2650902984026209,0.0,0.0,0.0,0.0,0.0,3.133766680397979,3.747865892134475
6,36.59942325563821,21.0884331582731,30.5417833472476,0.839904742391753,3.4219318558262874,2.2470749914250563,0.0,0.0,0.0,0.0,0.0,2.7848615842847746,2.4765870649132196
7,41.630526950267665,23.646835795431326,23.905017673981448,1.4351809284459156,2.7986570838952227,0.7500906685464427,0.0,0.0,0.0,0.0,0.0,3.264195374116301,2.5694955253156797
8,42.53598417689101,25.606896606069203,23.608173171635027,1.093244446545787,1.8705940757901705,0.1271207142463141,0.0,0.0,0.0,0.0,0.0,3.3429942554549537,1.8149925533675326
9,48.010108405929735,28.23519716241075,16.343866691380335,0.922418817534288,0.6634013286472569,0.04724555161412881,0.0,0.0,0.0,0.0,0.0,3.850958730653646,1.9268033118298638
10,49.48602512883513,29.69324212840605,12.809973059675476,0.8739379012744157,0.8077104600883482,0.0,0.0,0.0,0.0,0.0,0.0,3.432431710110008,2.8966796116105664
