Decile,Turnout
1,56.66233207833421
2,59.49475396206054
3,61.57460257305291
4,63.9416176054474
5,64.93710597313452
6,66.14097754311679
7,67.51772277112477
8,68.38264759740484
9,70.67754390811456
10,71.86074351960777
