Decile,Turnout
1,59.07555863135032
2,61.00954356143518
3,64.05091682366101
4,65.4896281413529
5,66.4210877817148
6,68.2137063685299
7,69.91659857742013
8,70.49950920560248
9,72.2866922649956
10,74.2196484889646
