Decile,Turnout
1,58.48644469111783
2,59.93873618955621
3,63.30376235071659
4,65.34727336715541
5,65.9466112121819
6,67.87087324838795
7,69.15430735671104
8,69.24518285286331
9,71.11725651804768
10,71.96333154800077
