Decile,Conservative,Liberal Democrat,Labour,Green,SNP,Plaid Cymru,DUP,Sinn Fein,SDLP,UUP,Alliance,UKIP,Other
1,18.805032080239222,2.447748561679032,48.95448610229478,0.9975418770923619,1.5600702619373084,0.0,8.240029525836412,8.279959562441434,2.909668181395812,2.273399841100845,1.6706801951123396,2.3333322137995967,1.528051597070852
2,28.724233499262375,2.6192942696500494,57.244748781982274,1.3097172012795535,0.0,0.8445460096628647,2.5051910484499023,0.5968961261308288,0.6112947825364967,0.7833429616319598,0.6930973681988682,3.061308498044971,1.006329453169859
3,33.24555129325232,4.227634963208406,53.332892521151436,1.2614500684545515,4.441272237659972,0.3296022050454646,0.0,0.0,0.0,0.0,0.0,2.091195089934076,1.0704016212937792
4,37.09462863860876,5.463638723271065,48.80271672608551,1.2252432100933144,3.9963305367035393,0.8586467772595063,0.0,0.0,0.0,0.0,0.0,2.171777704829594,0.38701768314871504
5,42.39797266657038,7.111686873356623,42.69162823054232,1.987630642352625,2.837440579843598,0.17315965439969322,0.0,0.0,0.0,0.0,0.0,2.206705513799478,0.5937758391352802
6,44.64593213106519,6.090984199424388,38.721669577007,1.124440503463658,5.4598085530715945,2.1796381090151953,0.0,0.0,0.0,0.0,0.0,1.2818107259912055,0.49571620096177416
7,48.220605868632134,7.5823405622081745,34.72398116241536,2.25423411295341,4.4785063253886035,0.6289930733050104,0.0,0.0,0.0,0.0,0.0,1.7309941382230525,0.3803447568742469
8,49.80752320298173,8.450506424342866,34.635159444561964,1.6832250323562645,3.700851548118325,0.0876139462055615,0.0,0.0,0.0,0.0,0.0,1.1845801785611267,0.45054022287216405
9,55.59987369469448,11.19115083885919,26.884028638476103,2.0974470470570723,1.679276331804594,0.0483521191609878,0.0,0.0,0.0,0.0,0.0,1.4382390703484385,1.0616322595991337
10,54.54102418830965,15.245743020312542,23.093353336826297,2.0709461102184448,1.8705742681578958,0.0,0.0,0.0,0.0,0.0,0.0,1.374411518690172,1.8039475574850015
