Decile,Turnout
1,62.101136415080084
2,63.79837775717171
3,65.89010835132673
4,67.2030078608081
5,68.20863111351473
6,69.27465951599834
7,71.03760609480305
8,71.21490489826493
9,72.81720888080886
10,74.4272377934199
